timestamp,position,rotation,feed,velocity,grade
2020-05-18 20-14-54 ,4016.21,226.8,270.8,-0.31,1
2020-05-18 20-14-55 ,4017.67,222.8,270.6,1.46,1
2020-05-18 20-14-56 ,4019.38,224.5,270.6,1.71,1
2020-05-18 20-14-57 ,4020.54,229.2,270.6,1.16,1
2020-05-18 20-14-58 ,4021.99,226.3,270.6,1.45,1
2020-05-18 20-14-59 ,4024.23,229.6,270.7,2.24,1
2020-05-18 20-15-00 ,4025.2,231,270.8,0.97,1
2020-05-18 20-15-01 ,4027.28,230,270.7,2.08,1
2020-05-18 20-15-02 ,4028.67,227.2,270.6,1.39,1
2020-05-18 20-15-03 ,4029.66,232,270.3,0.99,1
2020-05-18 20-15-04 ,4030.68,230.8,270.6,1.02,1
2020-05-18 20-15-05 ,4032.82,232.2,270.7,2.14,1
2020-05-18 20-15-06 ,4035.2,228.1,270.6,2.38,1
2020-05-18 20-15-07 ,4035.12,231.3,270.7,-0.08,1
2020-05-18 20-15-08 ,4036.63,229.7,270.7,1.51,1
2020-05-18 20-15-09 ,4037.83,227.1,270.7,1.2,1
2020-05-18 20-15-10 ,4039.16,227.8,270.7,1.33,1
2020-05-18 20-15-11 ,4039.83,223.7,270.6,0.67,1
2020-05-18 20-15-12 ,4043.17,223.6,270.3,3.34,1
2020-05-18 20-15-13 ,4044.8,226.7,270.6,1.63,1
2020-05-18 20-15-14 ,4046.81,227.3,270.9,2.01,1
2020-05-18 20-15-15 ,4049.15,224,270.8,2.34,1
2020-05-18 20-15-16 ,4050.68,226.7,270.4,1.53,1
2020-05-18 20-15-17 ,4052,228.7,270.4,1.32,1
2020-05-18 20-15-18 ,4054.61,232.1,270.2,2.61,1
2020-05-18 20-15-19 ,4055.63,235.8,270.4,1.02,1
2020-05-18 20-15-20 ,4058.89,231.7,270.4,3.26,1
2020-05-18 20-15-21 ,4059.4,228.5,270.6,0.51,1
2020-05-18 20-15-22 ,4060.71,231.5,270.6,1.31,1
2020-05-18 20-15-23 ,4061.66,230.9,270.5,0.95,1
2020-05-18 20-15-24 ,4064.87,233.1,270.5,3.21,1
2020-05-18 20-15-25 ,4066.2,226.4,270.6,1.33,1
2020-05-18 20-15-26 ,4066.54,227.3,270.4,0.34,1
2020-05-18 20-15-27 ,4067.54,228.6,270.3,1,1
2020-05-18 20-15-28 ,4070.42,222,270.6,2.88,1
2020-05-18 20-15-29 ,4072.29,226.3,270.4,1.87,1
2020-05-18 20-15-30 ,4073.84,229.7,270.4,1.55,1
2020-05-18 20-15-31 ,4075.32,227.9,270.4,1.48,1
2020-05-18 20-15-32 ,4076.29,223.1,270.5,0.97,1
2020-05-18 20-15-33 ,4078.48,219.4,271.8,2.19,1
2020-05-18 20-15-34 ,4079.33,214.6,270.5,0.85,1
2020-05-18 20-15-35 ,4080.87,224.2,301.7,1.54,1
2020-05-18 20-15-36 ,4084.65,243.3,292.1,3.78,1
2020-05-18 20-15-37 ,4085.18,247.9,270.8,0.53,1
2020-05-18 20-15-38 ,4086.59,250.9,270.2,1.41,1
2020-05-18 20-15-39 ,4088.17,249.9,271.9,1.58,1
2020-05-18 20-15-40 ,4089.47,245.2,273,1.3,1
2020-05-18 20-15-41 ,4089.93,249,270.7,0.46,1
2020-05-18 20-15-42 ,4091.23,249.6,270.5,1.3,1
2020-05-18 20-15-43 ,4093.49,250.8,270.6,2.26,1
2020-05-18 20-15-44 ,4094.93,242.7,270.6,1.44,1
2020-05-18 20-15-45 ,4096.18,244.3,270.6,1.25,1
2020-05-18 20-15-46 ,4097.32,247.9,270.5,1.14,1
2020-05-18 20-15-47 ,4099.1,253.1,270.5,1.78,1
2020-05-18 20-15-48 ,4100.69,248,270.6,1.59,1
2020-05-18 20-15-49 ,4100.8,244.3,270.8,0.11,1
2020-05-18 20-15-50 ,4101.03,244.4,270.6,0.23,1
2020-05-18 20-15-51 ,4104.07,247.3,270.6,3.04,1
2020-05-18 20-15-52 ,4105.4,246.7,270.6,1.33,1
2020-05-18 20-15-53 ,4105.84,244.4,270.8,0.44,1
2020-05-18 20-15-54 ,4106.14,246,270.9,0.3,1
2020-05-18 20-15-55 ,4107.48,247.7,270.5,1.34,1
2020-05-18 20-15-56 ,4109.67,245.3,270.3,2.19,1
2020-05-18 20-15-57 ,4112.05,246.9,270.6,2.38,1
2020-05-18 20-15-58 ,4111.91,248.4,270.5,-0.14,1
2020-05-18 20-15-59 ,4114.41,248.1,270.5,2.5,1
2020-05-18 20-16-00 ,4116.65,244.7,270.3,2.24,1
2020-05-18 20-16-01 ,4117.81,240.1,270.5,1.16,1
2020-05-18 20-16-02 ,4120.5,244.9,270.4,2.69,1
2020-05-18 20-16-03 ,4120.4,247.3,270.3,-0.1,1
2020-05-18 20-16-04 ,4121.03,248.7,270.7,0.63,1
2020-05-18 20-16-05 ,4122.82,243.2,270.6,1.79,1
2020-05-18 20-16-06 ,4124.59,242.4,270.5,1.77,1
2020-05-18 20-16-07 ,4126.29,247.4,270.4,1.7,1
2020-05-18 20-16-08 ,4127.31,245,270.3,1.02,1
2020-05-18 20-16-09 ,4129.36,243.2,270.5,2.05,1
2020-05-18 20-16-10 ,4131.88,243.2,270.6,2.52,1
2020-05-18 20-16-11 ,4134.07,247.5,270.4,2.19,1
2020-05-18 20-16-12 ,4135.49,247.1,270.4,1.42,1
2020-05-18 20-16-13 ,4136.14,239.3,270.5,0.65,1
2020-05-18 20-16-14 ,4137.45,244.3,270.4,1.31,1
2020-05-18 20-16-15 ,4139.58,246.9,270.2,2.13,1
2020-05-18 20-16-16 ,4142,247.1,270.5,2.42,1
2020-05-18 20-16-17 ,4143.46,238.6,270.4,1.46,1
2020-05-18 20-16-18 ,4144.22,237.5,270.5,0.76,1
2020-05-18 20-16-19 ,4144.86,246.4,270.4,0.64,1
2020-05-18 20-16-20 ,4146.84,249.8,270.5,1.98,1
2020-05-18 20-16-21 ,4149.03,239.2,270.6,2.19,1
2020-05-18 20-16-22 ,4149.46,239,270.5,0.43,1
2020-05-18 20-16-23 ,4151.34,244.9,270.2,1.88,1
2020-05-18 20-16-24 ,4153.92,247.6,270.1,2.58,1
2020-05-18 20-16-25 ,4156.4,241.9,270.3,2.48,1
2020-05-18 20-16-26 ,4157.52,238,270.4,1.12,1
2020-05-18 20-16-27 ,4158.52,242.9,270.4,1,1
2020-05-18 20-16-28 ,4160.97,246.9,270.2,2.45,1
2020-05-18 20-16-29 ,4162.54,237.6,270.4,1.57,1
2020-05-18 20-16-30 ,4163.85,235.4,270.3,1.31,1
2020-05-18 20-16-31 ,4165.8,241.8,270.4,1.95,1
2020-05-18 20-16-32 ,4166.44,246.6,270.4,0.64,1
2020-05-18 20-16-33 ,4168.09,240.3,270.3,1.65,1
2020-05-18 20-16-34 ,4169.18,236.1,270.4,1.09,1
